reg,id,data,categoria_forze_armate,categoria_personale_scolastico,prima_dose,seconda_dose,giornaliere,scorte_consegnate,totale_scorte,cumulative,cumulative_prime,cumulative_seconde,perc_scorte,pop,cumul_1000ab,cumul_prime_1000ab,cumul_seconde_1000ab,pc_seconde_dosi,giornaliere_5ma,prime_dosi_5ma,seconde_dosi_5ma,giornaliere_1000ab,giornaliere_1000ab_5ma,prime_dosi_1000ab,prime_dosi_1000ab_5ma,seconde_dosi_1000ab,seconde_dosi_1000ab_5ma,scorte_disponibili,scorte_disp_1000ab,attesa_seconda_dose,aumento_giorn,pc_seconde_dosi_5ma,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,dimessi_guariti,deceduti,tamponi,ingressi_terapia_intensiva,nuovi_ospedalizzati,area,giorno,settimana
P.A. Trento,972.0,2021-02-01,0.0,0.0,92.0,1126.0,1218.0,600.0,25660.0,20958.0,13856.0,7102.0,81.67575993764615,545425.0,38.425081358573586,25.404042718980612,13.021038639592978,92.44663382594418,710.8,69.0,641.8,2.2331209607187055,1.3032039235458586,2.2331209607187055,1.3032039235458586,2.0644451574460283,1.1766970710913507,4702.0,8.620800293349223,6754.0,15.45945945945946,87.99229548512382,180,35,215,2288,2503,23930,1147,529694,1.0,2.0,PAT,0,6
P.A. Trento,973.0,2021-02-02,0.0,0.0,190.0,699.0,889.0,4680.0,30340.0,21847.0,14046.0,7801.0,72.00725115359262,545425.0,40.05500297932805,25.752394921391577,14.302608057936471,78.62767154105737,782.6,97.4,685.2,1.6299216207544576,1.4348443874043177,1.6299216207544576,1.4348443874043177,1.2815694183434936,1.2562680478525923,8493.0,15.571343447770088,6245.0,-0.2701149425287356,85.52915054805229,174,34,208,2188,2396,24206,1150,532289,2.0,-7.0,PAT,1,6
P.A. Trento,974.0,2021-02-03,0.0,0.0,414.0,431.0,845.0,0.0,30340.0,22692.0,14460.0,8232.0,74.7923533289387,545425.0,41.60425356373471,26.511436036118624,15.092817527616079,51.005917159763314,681.8,169.4,512.4,1.5492505844066553,1.2500343768620799,1.5492505844066553,1.2500343768620799,0.7902094696796077,0.9394508869230416,7648.0,14.022092863363433,6228.0,-0.04949381327334079,76.53092701188041,158,33,191,2304,2495,24365,1153,535579,2.0,-17.0,PAT,2,6
P.A. Trento,975.0,2021-02-04,0.0,0.0,420.0,551.0,971.0,0.0,30340.0,23663.0,14880.0,8783.0,77.99274884640738,545425.0,43.384516661319154,27.281477746711282,16.103038914607875,56.74562306900103,799.4,223.2,576.2,1.7802630975844524,1.465646055828024,1.7802630975844524,1.465646055828024,1.0102213869917953,1.056423889627355,6677.0,12.241829765778979,6097.0,0.149112426035503,75.76516911915319,144,32,176,2266,2442,24653,1158,539446,1.0,-15.0,PAT,3,6
P.A. Trento,976.0,2021-02-05,0.0,0.0,280.0,519.0,799.0,0.0,30340.0,24462.0,15160.0,9302.0,80.62623599208965,545425.0,44.849429344089465,27.794838887106383,17.05459045698309,64.95619524405507,944.4,279.2,665.2,1.4649126827703167,1.7314937892469175,1.4649126827703167,1.7314937892469175,0.951551542375212,1.2195993949672275,5878.0,10.776917083008662,5858.0,-0.1771369721936148,68.7564081679642,142,32,174,2341,2515,24782,1158,542779,0.0,-2.0,PAT,4,6
P.A. Trento,977.0,2021-02-06,0.0,0.0,432.0,140.0,572.0,0.0,30340.0,25034.0,15592.0,9442.0,82.51153592617008,545425.0,45.8981528166109,28.58688178943026,17.311271027180638,24.475524475524477,815.2,347.2,468.0,1.0487234725214283,1.494614291607462,1.0487234725214283,1.494614291607462,0.25668057019755236,0.8580464775175323,5306.0,9.728193610487235,6150.0,-0.28410513141426785,55.16218629788026,131,28,159,2465,2624,24949,1160,546110,1.0,-15.0,PAT,5,6
P.A. Trento,978.0,2021-02-07,,,0.0,0.0,0.0,0.0,30340.0,25034.0,15592.0,9442.0,82.51153592617008,545425.0,45.8981528166109,28.58688178943026,17.311271027180638,0.0,637.4,309.2,328.2,0.0,1.1686299674565706,0.0,1.1686299674565706,0.0,0.6017325938488335,5306.0,9.728193610487235,6150.0,-1.0,39.43665198966879,136,26,162,2514,2676,25067,1165,548473,0.0,3.0,PAT,6,6
P.A. Trento,979.0,2021-02-08,0.0,1.0,341.0,808.0,1149.0,0.0,30340.0,26183.0,15933.0,10250.0,86.2986156888596,545425.0,48.0047669248751,29.212082321125727,18.79268460374937,70.32201914708442,698.2,294.6,403.6,2.1066141082641976,1.2801026722280793,2.1066141082641976,1.2801026722280793,1.4814135765687308,0.7399734152266582,4157.0,7.621579502223037,5683.0,inf,43.29987238713301,141,28,169,2428,2597,25207,1170,549351,3.0,7.0,PAT,0,7
P.A. Trento,980.0,2021-02-09,0.0,0.0,441.0,472.0,913.0,2200.0,32540.0,27096.0,16374.0,10722.0,83.26982175783651,545425.0,49.67869092909199,30.020626117248018,19.658064811843975,51.69769989047097,686.6,298.8,387.8,1.673924004216895,1.2588348535545677,1.673924004216895,1.2588348535545677,0.8653802080946051,0.7110051794472201,5444.0,9.98120731539625,5652.0,-0.20539599651871188,42.290287751426995,144,29,173,2399,2572,25393,1173,551717,3.0,4.0,PAT,1,7
P.A. Trento,981.0,2021-02-10,0.0,0.0,508.0,341.0,849.0,4680.0,37220.0,27945.0,16882.0,11063.0,75.08060182697474,545425.0,51.23527524407572,30.95200990053628,20.28326534353944,40.16489988221437,696.6,344.4,352.2,1.5565843149837284,1.2771691799972498,1.5565843149837284,1.2771691799972498,0.6252005316954669,0.6457349773112709,9275.0,17.005087775587846,5819.0,-0.07009857612267256,37.33202867905886,142,29,171,2495,2666,25603,1174,555598,2.0,-2.0,PAT,2,7
P.A. Trento,982.0,2021-02-11,0.0,0.0,796.0,334.0,1130.0,0.0,37220.0,29075.0,17678.0,11397.0,78.1166039763568,545425.0,53.30705413209883,32.41142228537379,20.89563184672503,29.557522123893804,808.2,417.2,391.0,2.071778888023101,1.4817802630975845,2.071778888023101,1.4817802630975845,0.6123665031855893,0.7168721639088783,8145.0,14.933308887564744,6281.0,0.3309776207302708,38.34842820873272,152,29,181,2503,2684,25837,1175,559166,3.0,10.0,PAT,3,7
P.A. Trento,983.0,2021-02-12,0.0,0.0,587.0,421.0,1008.0,0.0,37220.0,30083.0,18265.0,11818.0,80.82482536270822,545425.0,55.1551542375212,33.48764724755924,21.667506989961957,41.76587301587302,1009.8,534.6,475.2,1.8481001054223771,1.8514002841820598,1.8481001054223771,1.8514002841820598,0.7718751432369253,0.8712471925562635,7137.0,13.085208782142367,6447.0,-0.10796460176991152,46.70160281190732,152,28,180,2490,2670,26069,1176,562487,2.0,-1.0,PAT,4,7
P.A. Trento,984.0,2021-02-13,0.0,0.0,171.0,365.0,536.0,3700.0,40920.0,30619.0,18436.0,12183.0,74.82649071358749,545425.0,56.13787413484897,33.80116422972911,22.33670990511986,68.09701492537313,887.2,500.6,386.6,0.982719897327772,1.6266214419947747,0.982719897327772,1.6266214419947747,0.6692029151579043,0.7088050602740982,10301.0,18.88618966860705,6253.0,-0.46825396825396826,46.25660196756506,156,26,182,2531,2713,26275,1176,565928,1.0,2.0,PAT,5,7
P.A. Trento,985.0,2021-02-14,0.0,0.0,11.0,235.0,246.0,0.0,40920.0,30865.0,18447.0,12418.0,75.42766373411534,545425.0,56.58889856533896,33.82133198881606,22.767566576522896,95.52845528455285,753.8,414.6,339.2,0.45102443048998486,1.3820415272493927,0.45102443048998486,1.3820415272493927,0.4308566714030343,0.621900352935784,10055.0,18.435165238117065,6029.0,-0.541044776119403,55.022753046381446,164,26,190,2599,2789,26365,1177,568411,2.0,8.0,PAT,6,7
P.A. Trento,986.0,2021-02-15,0.0,11.0,417.0,113.0,530.0,0.0,40920.0,31395.0,18864.0,12531.0,76.72287390029325,545425.0,57.56061786680112,34.58587340147591,22.974744465325205,21.32075471698113,690.0,396.4,293.6,0.9717193014621626,1.2650685245450795,0.9717193014621626,1.2650685245450795,0.20717788880231014,0.5382958243571527,9525.0,17.4634459366549,6333.0,1.154471544715447,51.25392401333479,174,27,201,2482,2683,26495,1179,569057,1.0,11.0,PAT,0,8
P.A. Trento,987.0,2021-02-16,0.0,10.0,658.0,5.0,663.0,0.0,40920.0,32058.0,19522.0,12536.0,78.34310850439883,545425.0,58.776183709950956,35.79227208140441,22.983911628546547,0.7541478129713424,596.6,368.8,227.8,1.2155658431498373,1.0938259155704269,1.2155658431498373,1.0938259155704269,0.009167163221341156,0.4176559563643031,8862.0,16.247880093505064,6986.0,0.25094339622641515,45.493249151150295,168,27,195,2522,2717,26652,1183,571258,3.0,-6.0,PAT,1,8
P.A. Trento,988.0,2021-02-17,3.0,12.0,1012.0,92.0,1104.0,0.0,40920.0,33162.0,20534.0,12628.0,81.04105571847508,545425.0,60.80029334922309,37.647705917403854,23.152587431819224,8.333333333333332,615.8,453.8,162.0,2.024109639272127,1.1290278223403767,2.024109639272127,1.1290278223403767,0.16867580327267725,0.29701608837145344,7758.0,14.223770454232938,7906.0,0.6651583710407241,38.80674121464236,162,26,188,2599,2787,26889,1187,575045,3.0,-7.0,PAT,2,8
P.A. Trento,989.0,2021-02-18,3.0,55.0,1136.0,63.0,1199.0,5850.0,46770.0,34361.0,21670.0,12691.0,73.46803506521275,545425.0,62.99857908970069,39.73048540129257,23.268093688408122,5.254378648874062,748.4,646.8,101.6,2.1982857404776093,1.3721409909703441,2.1982857404776093,1.3721409909703441,0.11550625658889857,0.18627675665765228,12409.0,22.751065682724484,8979.0,0.08605072463768115,26.238213959342545,172,27,199,2700,2899,27067,1189,578565,3.0,11.0,PAT,3,8
P.A. Trento,990.0,2021-02-19,1.0,28.0,833.0,58.0,891.0,0.0,46770.0,35252.0,22503.0,12749.0,75.37310241607868,545425.0,64.63216757574368,41.257734793968005,23.37443278177568,6.509539842873176,877.4,811.2,66.2,1.6335884860429941,1.608653802080946,1.6335884860429941,1.608653802080946,0.10633909336755741,0.12137324105055691,11518.0,21.117477196681484,9754.0,-0.25688073394495414,8.434430871006612,172,25,197,2687,2884,27334,1193,581938,0.0,-2.0,PAT,4,8
P.A. Trento,991.0,2021-02-20,3.0,31.0,121.0,283.0,404.0,4600.0,51370.0,35656.0,22624.0,13032.0,69.41016157290247,545425.0,65.37287436402805,41.479580143924466,23.89329422010359,70.04950495049505,852.2,752.0,100.2,0.7407067882843654,1.5624512994453867,0.7407067882843654,1.5624512994453867,0.5188614383279094,0.18370995095567677,15714.0,28.810560572030983,9592.0,-0.5465768799102133,18.180180917709396,162,27,189,2835,3024,27505,1194,585615,3.0,-8.0,PAT,5,8
P.A. Trento,992.0,2021-02-21,0.0,0.0,43.0,112.0,155.0,0.0,51370.0,35811.0,22667.0,13144.0,69.71189410161574,545425.0,65.65705642388963,41.55841774762799,24.098638676261633,72.25806451612902,750.6,629.0,121.6,0.28418205986157585,1.3761745427877345,0.28418205986157585,1.3761745427877345,0.2053444561580419,0.2229454095430169,15559.0,28.52637851216941,9523.0,-0.6163366336633663,32.48096425834093,167,29,196,2913,3109,27679,1194,588274,2.0,7.0,PAT,6,8
P.A. Trento,993.0,2021-02-22,0.0,43.0,649.0,84.0,733.0,0.0,51370.0,36544.0,23316.0,13228.0,71.1387969632081,545425.0,67.00096255213823,42.74831553375808,24.25264701838016,11.459754433833561,676.4,556.4,120.0,1.3439061282486136,1.2401338405830316,1.3439061282486136,1.2401338405830316,0.15400834211853143,0.22001191731218772,14826.0,27.182472383920796,10088.0,3.7290322580645165,33.106248478440975,175,30,205,2788,2993,27853,1196,589181,2.0,9.0,PAT,0,9
